Team,Abbreviation
ACES,ACE
Admirals,ADM
BABY BLACK DRAGONS,BBD
Badger Battalion,BBT
Bandits,CW
BAR DOWN,BDW
Beanie Babies,BEB
Beaver Dam,11
Benders,BND
BIG JOE,BJ
BLACK DRAGONS,BDG
Bladerunners,TM2
Blades of Fury,BOF
Blades of Fury - OLD,BLD
Blades of Fury II,BII
Bladiators,TM1
Blazers,WV
BLUE,BLU
BOTTOM FEEDERS,BOT
Bulldogs,BU
BULLS,BUL
Busta Nuyts,APP
Buttenders,BUT
CAMEL TOEWS,CT
Check Republic,CP
Checking Edges,CEE
Cheeky Clappers,CCP
Chicken Chips,CHC
CIBC,BNK
Clean Sheets,CSH
Cold Cuts,CCT
Cold Soju,SOJ
Cool Beans,CBN
CROP DUSTERS,CRD
CROSBAE,BAE
Cutting Edges Teal,CE
Deke-a-doodle-doo,DEE
Delivery Boys,DBA
Delivery Boys B,DBB
DHxC,DHC
DIRTY DANGLERS,DID
District 5,EE
Dump Stars,DUS
East Van Blizzard,2D
Emerald Islanders,EI
EQUITY,LT
Equity - Gold,EGO
Equity - Green,EGG
Fifth Liners,FL
Filthy Casuals,FC
Flying Squirrels,FLY
Forecheckistan,FOR
Formally known as Z,ZZ
Fresh Legs,FRL
Frost Bite,FB
Frostbite,FST
Funky Mitts,FUM
Goal Rush,GOR
Goals Gone Wild,GGW
GOLDEN SEALS,GS
Goon Squad,GNS
Greasy Dekes,GD
Greyhounds,GH
Gritty Knights,DCP
Grizzlies,GRZ
Growlers,GRR
Happy Kings,DD
HC SAMURAI,HCS
High Rollers,HR
Hockey Team,DN
Hot Sake,SK
HOT SAKE II,SK2
Howlers,HOW
Ice Crispies,CRS
Ice Dogs,ICD
Ice Holes,ICH
Ice Rizz,RZZ
ICEBREAKERS,ICE
ICEHOLES,IHO
JACK DANGLES,JD
Jesse's Girls,AP
KBI Fall 2025,KBI
KIller Bees,OG
Killer Bees - old,KB
Kuma,KUM
Letterkenny Shamrocks,LS
Lucky Pucks,LKP
Mid Ice Crisis,TM3
MIGHTY PUCKS,MTP
Mind Pucks,MPP
Misconducts,MIS
MOVES LIKE JAGR,MLJ
Netstix and Chill,NC
No Puck Given,55
No Stars,NOS
Oddballs,ODD
OnlyPucks,OP
ORANGE,ORG
PainPRO Panthers,PPP
Pigeons,PIG
PINK,PNK
Pink Venom,PVN
PLHC,PLH
PROBABLE EQUITY,PBE
PROVEN EQUITY,PVE
PUCK AROUND,PAR
Puck Bots,PBO
PUCK BUDDIES,PUB
PUCK DYNASTY,PDY
Puck Eyes,PE
PUCK HOGS,HOG
PUCK IT,PUK
Puck Norris,SAM
Puck Patrol,PPT
Puck Stars,PS
Puck Time,PTM
Puckaneers,PUC
PUCKNUTZ,PKN
Pucks and Recreation,PUR
Pucks In Deep,HTB
Pucky Charms,PC
RAGING MONKEYS,RGM
RAIDERS,RDS
Raincouver Hockey Club,TP
Ravens,RV
REBELS,RBL
RED,RED
RED DRAGONS,RDG
Red Horse Hockey Club,RHC
Return Fire,RTF
RICE ON ICE,ROI
Rink Flamingos,PSL
Rising Stars,RSS
Rockets,RO
ROCKIES,RC
ROGUES,ROG
Rubber Puckies,RUB
Rush Hour,RSH
SAIYANS,SAI
Sandstorm,SD
Satans Mothers,SM
Saucers and Friends,SAU
SAUCY MAVS,SCM
Savage Huns,SH
SCURVY PUCKS,SCP
SGS Puckaneers,SGS
Sharks,SKS
SHART SHOOTERS,SS
Sick Pucks,SP
SINGHS,FUQ
Skateful Dead,SKD
Skating Dead,77
Sniping Pockets Wheeling Rockets,SPW
South Hill Lollygaggers,SHL
Stealth,ST
Stranger's Things,66
SWEATY PUCKS,SWP
TANDOORI NOODLES,TAN
Taylight Brewing Catfish,TBC
TEAM FIRE,TF
Team FORCE,FO
TEAM SLOVAKIA,TSK
TEAM WATER,TW
The A Team,AT
The Mighty Pricks,MST
The Warriors,TW2
Thunderbirds,THN
TIGERS,TI
TITANS,TIT
Toe Drag Queens (HTN1),HTN
Ugly Pucklings,NB2
VANCITY DEMONS,VCD
Vitamin C,VC
Westcoast Saints,SA
Westcoast Sinners,SIN
Westcoast Sinners - old,WS
WHALERS,WH
Wheezey Company,WC
WHISKEY DEKES,WHD
Wicked Sticks,WST
Wide Dangle Shot,WDS
Wolfhound Warriors,CCR
Wolfpack,PAK
Wolves,WLV
WSDM,WSD
ZAMBRONIES,ZAM
